,address,area,beds,full_bathrooms,half_bathrooms,price
137,"8414 W FAIRMOUNT Avenue, Phoenix, AZ 85037","1,002 sq.ft.",3 beds,2 ,,"$349,000"
138,"11257 N 37TH Street, Phoenix, AZ 85028","2,489 sq.ft.",4 beds,2 ,,"$699,000"
139,"1332 W EDGEMONT Avenue, Phoenix, AZ 85007","2,326 sq.ft.",3 beds,2 ,,"$1,100,000"
140,"1329 E Pomelo Grove Lane, Phoenix, AZ 85014","2,377 sq.ft.",3 beds,4 ,,"$1,625,000"
141,"2125 W HEDGEHOG Place, Phoenix, AZ 85085","2,174 sq.ft.",4 beds,2 ,,"$640,000"
142,"2542 W KIT CARSON Trail, Anthem, AZ 85086","2,968 sq.ft.",5 beds,3 ,,"$675,000"
143,"4126 E GLENROSA Avenue, Phoenix, AZ 85018","2,218 sq.ft.",4 beds,5 ,,"$1,650,000"
144,"2213 E YALE Street, Phoenix, AZ 85006","1,329 sq.ft.",3 beds,2 ,,"$440,000"
145,"8507 S 9TH Drive 16, Phoenix, AZ 85041","3,063 sq.ft.",4 beds,4 ,,"$1,298,000"
146,"2422 E COCHISE Road, Phoenix, AZ 85028","2,314 sq.ft.",3 beds,2 ,,"$859,500"
147,"3800 E LINCOLN Drive 3, Phoenix, AZ 85018","4,904 sq.ft.",4 beds,3 ,,"$1,720,000"
148,"3800 E LINCOLN Drive 12, Phoenix, AZ 85018","3,543 sq.ft.",3 beds,3 ,,"$1,950,000"
149,"2317 E TAXIDEA Way, Phoenix, AZ 85048","2,780 sq.ft.",5 beds,3 ,,"$849,000"
150,"1326 N CENTRAL Avenue 405, Phoenix, AZ 85004","1,655 sq.ft.",2 beds,2 ,,"$838,000"
151,"8503 S 9th Drive 17, Phoenix, AZ 85041","3,033 sq.ft.",4 beds,3 ,,"$1,295,000"
152,"15027 N 28TH Street, Phoenix, AZ 85032","3,448 sq.ft.",4 beds,3 ,,"$1,325,000"
153,"18007 N 66TH Way, Phoenix, AZ 85054","2,292 sq.ft.",4 beds,3 ,,"$999,000"
154,"8154 N 1ST Avenue, Phoenix, AZ 85021","2,043 sq.ft.",4 beds,2 ,,"$669,000"
155,"3636 E PARADISE Lane, Phoenix, AZ 85032","2,054 sq.ft.",4 beds,2 ,,"$579,000"
156,"10856 W MARSHALL Avenue, Phoenix, AZ 85037","2,754 sq.ft.",4 beds,3 ,,"$530,000"
157,"3506 E DESERT BROOM Way, Phoenix, AZ 85044","2,985 sq.ft.",4 beds,3 ,,"$869,000"
158,"6649 N MAJORCA Lane E, Phoenix, AZ 85016","1,360 sq.ft.",2 beds,2 ,,"$599,000"
159,"27413 N 23RD Drive, Phoenix, AZ 85085","2,313 sq.ft.",3 beds,2 ,,"$579,900"
160,"15824 S 43RD Street, Phoenix, AZ 85048","2,219 sq.ft.",4 beds,4 ,,"$607,999"
161,"3416 N 44TH Street 43, Phoenix, AZ 85018","1,344 sq.ft.",2 beds,2 ,,"$335,000"
162,"4438 N 27TH Street 11, Phoenix, AZ 85016","2,154 sq.ft.",3 beds,3 ,,"$720,000"
163,"2110 E Kerry Lane, Phoenix, AZ 85024","4,535 sq.ft.",6 beds,6 ,,"$1,300,000"
164,"1547 W VERNON Avenue, Phoenix, AZ 85007","1,928 sq.ft.",3 beds,2 ,,"$848,000"
165,"41717 N MOSS SPRINGS Court, Anthem, AZ 85086","3,191 sq.ft.",3 beds,3 ,,"$1,185,000"
166,"2438 E CLAIRE Drive, Phoenix, AZ 85032","2,227 sq.ft.",3 beds,2 ,,"$645,000"
167,"2658 N 19TH Avenue, Phoenix, AZ 85009","1,857 sq.ft.",3 beds,2 ,,"$635,000"
168,"1348 E COLTER Street, Phoenix, AZ 85014","3,159 sq.ft.",6 beds,6 ,,"$999,000"
169,"14025 S 44TH Street, Phoenix, AZ 85044","2,710 sq.ft.",5 beds,3 ,,"$731,000"
170,"1339 E DUNBAR Drive, Phoenix, AZ 85042","1,680 sq.ft.",3 beds,3 ,,"$424,500"
171,"11830 S EAGLEMAN Drive, Phoenix, AZ 85044","1,802 sq.ft.",4 beds,2 ,,"$569,000"
172,"10629 N 9th Street, Phoenix, AZ 85020","1,608 sq.ft.",2 beds,2 ,,"$579,900"
173,"5441 E ROANOKE Avenue, Phoenix, AZ 85008","1,498 sq.ft.",3 beds,2 ,,"$749,999"
174,"7202 N 12TH Street, Phoenix, AZ 85020","1,933 sq.ft.",4 beds,3 ,,"$755,000"
175,"1209 E MUIRWOOD Drive, Phoenix, AZ 85048","1,702 sq.ft.",2 beds,3 ,,"$519,000"
176,"7015 S 19TH Street, Phoenix, AZ 85042","1,886 sq.ft.",3 beds,2 ,,"$450,000"
177,"12015 S Tuzigoot Drive, Phoenix, AZ 85044","5,062 sq.ft.",6 beds,,,"$1,450,000"
178,"3852 E EXPEDITION Way, Phoenix, AZ 85050","6,850 sq.ft.",7 beds,7 ,,"$1,995,000"
179,"4573 E THISTLE LANDING Drive, Phoenix, AZ 85044","3,270 sq.ft.",5 beds,4 ,,"$750,000"
180,"1840 W STELLA Lane, Phoenix, AZ 85015","1,923 sq.ft.",3 beds,2 ,,"$350,000"
181,"1400 E BETHANY HOME Road 28, Phoenix, AZ 85014","1,773 sq.ft.",2 beds,3 ,,"$599,000"
182,"1473 E AMBERWOOD Drive, Phoenix, AZ 85048","2,894 sq.ft.",4 beds,3 ,,"$899,000"
183,"14432 S 18TH Street, Phoenix, AZ 85048","6,600 sq.ft.",5 beds,6 ,,"$2,799,000"
184,"2150 W Alameda Road 1091, Phoenix, AZ 85085","1,479 sq.ft.",3 beds,3 ,,"$419,000"
185,"4208 N 15TH Avenue, Phoenix, AZ 85015","1,374 sq.ft.",4 beds,2 ,,"$429,000"
186,"16825 N 14TH Street 120, Phoenix, AZ 85022","1,144 sq.ft.",2 beds,3 ,,"$324,999"
187,"4301 N 21st Street 25, Phoenix, AZ 85016","1,958 sq.ft.",3 beds,3 ,,"$575,000"
188,"19674 N 3RD Avenue, Phoenix, AZ 85027","1,250 sq.ft.",3 beds,2 ,,"$415,000"
189,"841 E MCLELLAN Boulevard, Phoenix, AZ 85014","3,700 sq.ft.",4 beds,4 ,,"$1,650,000"
190,"5350 N CENTRAL Avenue N 26, Phoenix, AZ 85012","1,378 sq.ft.",2 beds,2 ,,"$400,000"
191,"10431 N 10TH Place 2, Phoenix, AZ 85020","1,015 sq.ft.",2 beds,1 ,,"$309,900"
192,"408 E CLAREMONT Street, Phoenix, AZ 85012","2,570 sq.ft.",4 beds,3 ,,"$1,235,000"
193,"3403 E VALENCIA Drive, Phoenix, AZ 85042","3,077 sq.ft.",4 beds,4 ,,"$860,000"
194,"16235 N 28TH Street, Phoenix, AZ 85032","1,621 sq.ft.",4 beds,3 ,,"$440,000"
195,"118 E Kaler Drive, Phoenix, AZ 85020","2,519 sq.ft.",3 beds,3 ,,"$1,375,000"
196,"26025 N 41st Way, Phoenix, AZ 85050","2,102 sq.ft.",4 beds,2 ,,"$824,999"
197,"1827 E SOUTH FORK Drive, Phoenix, AZ 85048","2,894 sq.ft.",4 beds,3 ,,"$820,000"
198,"2211 E Camelback Road Unit 702, Phoenix, AZ 85016","2,985 sq.ft.",2 beds,,,"$1,495,000"
199,"2211 E Camelback Road Unit 407, Phoenix, AZ 85016","3,904 sq.ft.",3 beds,,,"$1,950,000"
200,"40261 N LA CANTERA Drive, Anthem, AZ 85086","1,454 sq.ft.",3 beds,2 ,,"$448,900"
